id_cliente,tipo_cliente,nome_razao_social,cpf_cnpj,email,telefone,cidade,estado,cep,data_nascimento_fundacao,genero,profissao_segmento,renda_mensal_faturamento,data_cadastro
CLI0123,PF,Rosana Figueiredo,045.018.961-64,rosanafiguei434@gmail.com,+55 61 97979-2522,Porto Alegre,RS,98662-329,12.10.1961,Masculino,Contador,34087,27.09.2021
CLI0097,PF,Brenda Peixoto,278.469.973-35,brendapeixot729@outlook.com,71998917575,,SP,57223-960,03-30-2000,,Jornalista,4043,2023-03-27
CLI0460,PF,Adriana Jardim,  384.936.806-35  ,adrianajardi50@hotmail.com,+55 71 97921-4532,Campinas,SP,37693-743,16/05/1976,,Contador,48406,08.07.2024
CLI0462,PF,  Otavio Esteves  ,  534.115.733-09  ,otavioesteve441@gmail.com,(11) 91603-5263,Fortaleza,CE,50326-698,12-04-1979,F,Professor,13815,21.01.2024
CLI0048,PF,Gabriel Yazbek,16271361115,gabrielyazbe144@hotmail.com,21913600310,São Luís,MA,48737-761,1989-09-09,m,Engenheiro,10071,07.09.2022
CLI0188,PF,Ligia Bernardes,,ligiabernard850@outlook.com,(71)954961030,Goiânia,GO,,05/01/1954,Feminino,Engenheiro,R$ 9417,19/04/2023
CLI0436,PF,  Marcelo Azevedo  ,501.016.260-08,marceloazeve728@uol.com.br,(71)922296926,Recife,PE,96166-517,1958-01-03,F,Técnico,R$ 39364,2021-08-22
CLI0509,PF,,005.108.194-84,carlossouza118@outlook.com,(31)926638686,,TO,65872-726,01-31-1967,,Designer,19999,04-14-2025
CLI0403,PF,BRUNO RIBEIRO,734.203.197-77,brunoribeiro226@hotmail.com,(71)932246098,Recife,PE,72988-399,1978-09-16,M,Analista,20117,09/05/2022
CLI0407,PF,MURILO QUEIROZ,141.470.123-50,muriloqueiro26@hotmail.com,71912905672,João Pessoa,PB,72883-323,22.02.1977,M,Contador,21131,2025-09-03
CLI0372,PF,MURILO QUEIROZ,  284.539.749-95  ,muriloqueiro287@yahoo.com.br,11931055735,Recife,PE,31990-350,30/05/1965,F,,26340,2020-06-15
CLI0021,PF,Fábio Vieira,65452711116,fábiovieira440@uol.com.br,+55 62 93955-5477,,PB,33777-990,02-01-1969,F,Jornalista,38455,29/06/2024
CLI0150,PF,FELIPE CARDOSO,602.564.347-12,,41952901755,Campinas,SP,11204-651,1980-07-10,F,Arquiteto,39541,2023-07-18
CLI0226,PF,RODRIGO CASTRO,908.051.208-00,rodrigocastr958@uol.com.br,21924465305,Maceió,S.P,75228-297,2001-06-30,M,Jornalista,13632,13.10.2023
CLI0109,PF,Natalia Teixeira,47492975170,nataliateixe967@gmail.com,(61) 97513-3423,Aracaju,SE,56052-415,1957-07-02,Masculino,Enfermeiro,35540,2020-12-24
CLI0369,PJ,Zeta Indústria ME,27.396.159/7640-53,zetaindústri871@gmail.com,11944852582,Porto Alegre,RS,27070-566,05-13-1993,,Saúde,3987057,08/01/2022
CLI0399,PF,Roberto Kramer,,robertokrame868@uol.com.br,,Porto Velho,RO,96148-659,1976-12-06,Masculino,Enfermeiro,28063,03/04/2023
CLI0179,PF,Paulo Abreu,  272.849.824-74  ,pauloabreu751@hotmail.com,(21)943383774,Porto Alegre,RS,22863-367,06-02-1981,M,Empresário,R$ 38749,2023-06-26
CLI0058,PJ,Tau Serviços SA,96065307450544,tauservicoss329@yahoo.com.br,+55 62 94463-7671,Maceió,,77537-910,01-02-1999,,Transporte,2012245,28.06.2023
CLI0146,PF,sandro guerreiro,  742.336.293-44  ,sandroguerre475@yahoo.com.br,71954725929,Curitiba,PR,10547-113,21.03.1984,,Designer,41005,12.03.2024
CLI0208,PF,ROSANA FIGUEIREDO,735.241.039-77,rosanafiguei547@gmail.com,(11)978660380,Aracaju,SE,26260-206,,m,Analista,48922,11/12/2022
CLI0043,PJ,rho sistemas ltda,,rhosistemasl771@yahoo.com.br,71923234748,Cuiabá,MT,61266-574,17/03/1995,,Tecnologia,471587,2025-08-11
CLI0145,PF,Débora Pacheco,914.363.910-25,deborapachec821@hotmail.com,,Macapá,AP,35226-153,18/11/1975,m,Arquiteto,R$ 17876,2021-08-02
CLI0029,PF,Sabrina Ramos,102.786.814-47,sabrinaramos378@outlook.com,(85)974245343,Guarulhos,SP,85353-175,14/08/1965,Masculino,Engenheiro,11101,22/07/2023
CLI0085,PF,LUCAS PEREIRA,684.577.600-49,lucaspereira741@yahoo.com.br,,Manaus,AM,17329-889,1973-10-10,Feminino,Professor,21680,13.11.2024
CLI0333,PF,Sandro Guerreiro,569.133.030-33,sandroguerre836@outlook.com,+55 11 91764-3081,Campo Grande,MS,86221-928,01-31-1955,F,,13340,08/03/2020
CLI0343,PF,Roberto Kramer,  302.750.003-05  ,nao informado,+55 71 94783-5446,Curitiba,PR,43038-234,2001-02-02,Masculino,Designer,3278,26.06.2020
CLI0133,PJ,Logística Global Ltda,84028914161284,logísticaglo252@yahoo.com.br,(81) 96381-1260,Porto Velho,RO,,20.12.2009,,Tecnologia,2974232,25.06.2025
CLI0380,PJ,Tecnologia Oeste Ltda,63.681.541/8589-90,tecnologiaoe42@outlook.com,,Teresina,,14784-333,27/09/2009,,Varejo,,12-24-2024
CLI0391,PF,,562.303.974-40,fábiovieira283@uol.com.br,(11) 96618-3670,Salvador,BA,69614,,F,Professor,11519,2021-10-12
CLI0316,PF,ALINE BARBOSA,624.178.429-02,alinebarbosa289@yahoo.com.br,81970552007,Aracaju,SE,87803-889,01-01-2030,m,Engenheiro,27728,17.11.2021
CLI0349,PF,Sandro Guerreiro,59009921779,sandroguerre255@uol.com.br,62928039011,João Pessoa,PB,,26/07/1978,M,Médico,R$ 9965,12-15-2025
CLI0348,PF,Gabriel Yazbek,  285.759.582-81  ,gabrielyazbe949@hotmail.com,31980245541,Palmas,TO,37514-640,2030-01-01,f,Técnico,19215,14/11/2024
CLI0340,PF,Lucas Pereira,132.823.392-18,lucaspereira77@uol.com.br,+55 62 98547-9243,Porto Alegre,,64919-693,20.03.1983,m,Enfermeiro,37273,10-08-2022
CLI0393,PF,MAURICIO MELO,039.091.203-02,mauriciomelo678@yahoo.com.br,+55 51 95683-5612,Natal,RN,21870-227,2030-01-01,M,,32373,09.05.2021
CLI0155,PJ,Beta Soluções Ltda,05396727578446,betasolucões748@hotmail.com,31948366253,Cuiabá,MT,77503-801,2013-12-20,,Transporte,3510093,20/12/2025
CLI0355,PF,Marcelo Azevedo,  397.130.722-11  ,marceloazeve417@gmail.com,31949344015,Porto Alegre,RS,62076-115,01-14-1960,Masculino,Advogado,R$ 6482,2022-01-11
CLI0172,PF,Eduardo Ferreira,  170.617.136-65  ,eduardoferre226@gmail.com,+55 31 94264-2506,Manaus,RRJ,74985-546,21/04/1967,Masculino,Empresário,11984,2024-06-26
CLI0261,PF,CINTIA NOGUEIRA,615.370.124-24,cintianoguei799@uol.com.br,21921176055,Teresina,PI,34811-658,1955-12-03,M,Administrador,9429,15/03/2020
CLI0317,PF,Monique Zanetti,,moniquezanet115@uol.com.br,(85)986366538,São Luís,MA,71662-271,18/01/1997,,Designer,2280,20.01.2021
CLI0463,PJ,Epsilon Serviços Ltda,14477618687047,epsilonservi378@outlook.com,62980699733,,SP,10473-847,08.11.2000,,Agronegócio,R$ 1335316,31.01.2022
CLI0330,PF,patricia rocha,34414916999,patriciaroch597@yahoo.com.br,31986639255,Vitória,ES,52837,1961-07-06,Feminino,Designer,39723,05-19-2023
CLI0433,PF,Aline Barbosa,261.705.058-35,alinebarbosa553@yahoo.com.br,(71) 99979-8944,Belo Horizonte,MG,77559-449,10-19-1984,M,Vendedor,47901,2025-03-07
CLI0179,PF,Paulo Abreu,  272.849.824-74  ,pauloabreu751@hotmail.com,(21)943383774,Porto Alegre,RS,22863-367,06-02-1981,M,Empresário,R$ 38749,2023-06-26
CLI0342,PF,JORGE OLIVEIRA,673.478.536-98,jorgeoliveir184@yahoo.com.br,51924008928,Rio de Janeiro,SP ,15393-437,25.10.1952,M,,28228,2026-01-24
CLI0472,PF,rosana figueiredo,92766809846,rosanafiguei497@yahoo.com.br,(71)937677056,Campinas,--,49179-739,07.08.1993,m,Administrador,3033,2021-03-14
CLI0276,PF,carlos souza,  768.293.844-01  ,carlossouza595@gmail.com,(51)964070291,Guarulhos,SP,85066-927,19.02.1961,Feminino,Vendedor,R$ 3183,29.04.2023
CLI0148,PF,Felipe Cardoso,  011.686.462-25  ,@invalido,+55 11 99557-1118,João Pessoa,PB,72027-875,1959-10-19,m,Administrador,10171,10-25-2024
CLI0374,PF,Lucas Pereira,759.192.267-13,lucaspereira323@hotmail.com,,Campo Grande,MS,22332-377,12.03.1988,M,,39426,25/07/2021
CLI0482,PF,PEDRO ALVES,58979903597,pedroalves395@uol.com.br,(85) 98430-7614,Manaus,AM,39417-417,05-13-1958,,Economista,43588,2025-02-06
CLI0177,PF,Camila Gomes,094.318.143-96,camilagomes22@hotmail.com,(21) 93797-1159,Natal,RN,42441-583,30/05/1971,f,Advogado,R$ 31833,03-12-2020
CLI0013,PJ,Beta Soluções Ltda,31.869.993/8677-49,betasolucões84@hotmail.com,(85)989699989,Manaus,AM,40340-395,16.11.1998,,Construção Civil,932431,02/02/2025
CLI0084,PF,otavio esteves,539.103.717-05,otavioesteve691@outlook.com,71934212413,Cuiabá,MT,88632-553,17/03/1997,m,Advogado,R$ 38578,07-14-2023
CLI0034,PF,Claudio Queiroga,993.308.330-16,claudioqueir767@yahoo.com.br,(11)996075494,Natal,RN,27589-971,07/05/1953,F,Designer,4381,2023-01-22
CLI0180,PF,Leandro Farias,26834414978,emailerrado,,Aracaju,SE,95181-209,06.10.1987,M,Designer,17902,02-02-2021
CLI0236,PF,Marcelo Azevedo,017.509.617-01,marceloazeve921@outlook.com,31913285625,Campinas,SP,11828-544,01.01.2030,F,Vendedor,23257,2021-12-08
CLI0168,PJ,Zeta Indústria ME,03.064.421/2146-14,zetaindústri305@hotmail.com,(71)957606004,Goiânia,GO,83519-901,,,Indústria,550822,24/03/2022
CLI0485,PF,JULIANA COSTA,993.446.060-69,julianacosta252@gmail.com,+55 62 93731-6932,Vitória,ES,,01-01-2030,Feminino,Administrador,38417,23.12.2024
